idna_subject,checker_type,destination,tested_at
s1.cz.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:07:16.748828
s1.edipresse.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:07:25.214250
s1.myao.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:07:30.548250
s1.sk.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:07:36.971487
ad2.pl.mediainter.net,AVAILABILITY,domains.list,2021-08-31 04:07:40.280397
ads2.rp.pl,AVAILABILITY,domains.list,2021-08-31 04:07:41.670068
afi.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:07:48.529470
adspiro.pl,AVAILABILITY,domains.list,2021-08-31 04:07:50.031422
ads.clickad.com.pl,AVAILABILITY,domains.list,2021-08-31 04:07:54.816347
adserwer.intercon.pl,AVAILABILITY,domains.list,2021-08-31 04:07:57.191446
counter.gemius.pl,AVAILABILITY,domains.list,2021-08-31 04:08:02.265363
c.allegrostatic.pl,AVAILABILITY,domains.list,2021-08-31 04:08:04.579777
gspro.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:08:05.170639
intactro.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:08:09.909003
investorbg.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:08:14.557012
gg.mob.vendimob.pl,AVAILABILITY,domains.list,2021-08-31 04:08:16.167406
openx.cda.pl,AVAILABILITY,domains.list,2021-08-31 04:08:16.517935
bbcdn.code.new.smartcontext.pl,AVAILABILITY,domains.list,2021-08-31 04:08:18.938795
new.smartcontext.pl,AVAILABILITY,domains.list,2021-08-31 04:08:19.964911
s1.delfilt.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:08:23.061121
panel.adtify.pl,AVAILABILITY,domains.list,2021-08-31 04:08:26.115950
code.new.smartcontext.pl,AVAILABILITY,domains.list,2021-08-31 04:08:28.252743
show.smartcontext.pl,AVAILABILITY,domains.list,2021-08-31 04:08:30.517321
openx.xenium.pl,AVAILABILITY,domains.list,2021-08-31 04:08:31.713376
ua.cnt.gemius.pl,AVAILABILITY,domains.list,2021-08-31 04:08:32.635028
www.adspiro.pl,AVAILABILITY,domains.list,2021-08-31 04:08:32.958363
www.intrack.pl,AVAILABILITY,domains.list,2021-08-31 04:08:33.371542
spanel.gem.pl,AVAILABILITY,domains.list,2021-08-31 04:08:40.691328
www.adtaily.pl,AVAILABILITY,domains.list,2021-08-31 04:08:42.193430
banery.acr.pl,AVAILABILITY,domains.list,2021-08-31 04:08:43.256354
unblock.onaudience.com,AVAILABILITY,domains.list,2021-08-31 04:08:43.527020
digital4ro.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:08:44.481631
ro1ro.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:08:45.686667
gratkapl.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:08:48.043119
lrytaslt.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:08:50.678180
obozua.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:08:55.480633
s1.gojobsru.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:09:00.351660
:1%lo0,AVAILABILITY,domains.list,2021-08-31 04:09:00.457425
s1.gratkapl.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:09:03.128219
s1.pracuj.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:09:08.422950
sportalbg.adocean.pl,AVAILABILITY,domains.list,2021-08-31 04:09:13.150207
