subject,idna_subject,expiration_date,epoch,registrar
ad2.pl,ad2.pl,27-feb-2026,1772150400.0,
adkontekst.pl,adkontekst.pl,23-jun-2028,1845331200.0,
adsearch.pl,adsearch.pl,14-jun-2027,1812931200.0,
adtaily.pl,adtaily.pl,16-apr-2026,1776297600.0,
adtotal.pl,adtotal.pl,29-jul-2026,1785283200.0,
afilo.pl,afilo.pl,22-may-2028,1842566400.0,
ankieta-online.pl,ankieta-online.pl,28-feb-2026,1772236800.0,
arbomedia.pl,arbomedia.pl,30-apr-2026,1777507200.0,
blogvertising.pl,blogvertising.pl,20-apr-2026,1776643200.0,
contextad.pl,contextad.pl,03-jul-2026,1783036800.0,
gem.pl,gem.pl,21-aug-2027,1818806400.0,
gemius.pl,gemius.pl,29-dec-2027,1830038400.0,
gostats.pl,gostats.pl,08-jul-2028,1846627200.0,
hub.com.pl,hub.com.pl,26-aug-2026,1787702400.0,
leadmy.pl,leadmy.pl,12-apr-2026,1775952000.0,
playlink.pl,playlink.pl,19-jun-2026,1781827200.0,
xed.pl,xed.pl,31-jan-2026,1769817600.0,
adserver.pl,adserver.pl,20-sep-2026,1789862400.0,
adtext.pl,adtext.pl,01-oct-2026,1790812800.0,
adview.pl,adview.pl,12-oct-2026,1791763200.0,
