idna_subject,checker_type,destination,source,tested_at,session_id
1.googlenews.xorg.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:28:59.402992+00:00,fca9effecb9a7a1bb568a9d0
15minadlt.hit.gemius.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:02.560753+00:00,fca9effecb9a7a1bb568a9d0
2.googlenews.xorg.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:03.755842+00:00,fca9effecb9a7a1bb568a9d0
24ratownik.hit.gemius.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:06.227125+00:00,fca9effecb9a7a1bb568a9d0
3.googlenews.xorg.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:06.993666+00:00,fca9effecb9a7a1bb568a9d0
4.googlenews.xorg.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:08.078984+00:00,fca9effecb9a7a1bb568a9d0
5.googlenews.xorg.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:08.944761+00:00,fca9effecb9a7a1bb568a9d0
activeby.hit.gemius.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:15.281126+00:00,fca9effecb9a7a1bb568a9d0
ad.adview.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:17.079727+00:00,fca9effecb9a7a1bb568a9d0
ad.afilo.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:19.174590+00:00,fca9effecb9a7a1bb568a9d0
ad.filmweb.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:21.686046+00:00,fca9effecb9a7a1bb568a9d0
ad.gazeta.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:23.173379+00:00,fca9effecb9a7a1bb568a9d0
ad.groupon.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:43.874097+00:00,fca9effecb9a7a1bb568a9d0
ad.hit.gemius.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:44.854789+00:00,fca9effecb9a7a1bb568a9d0
ad.hosting.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:45.716109+00:00,fca9effecb9a7a1bb568a9d0
ad.pl.doubleclick.net,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:46.139836+00:00,fca9effecb9a7a1bb568a9d0
ad.prv.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:47.660230+00:00,fca9effecb9a7a1bb568a9d0
ad.stat.4u.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:56.702787+00:00,fca9effecb9a7a1bb568a9d0
ad.yoyo.pl,AVAILABILITY,domains.list,domains.list,2025-11-15 03:29:57.902210+00:00,fca9effecb9a7a1bb568a9d0
